"farm","site","plot","canopy_percent_subplot_1","canopy_percent_subplot_2","legumes_percent_subplot_1","legumes_percent_subplot_2","grass_percent_subplot_1","grass_percent_subplot_2","dot_density_subplot_1","dot_density_subplot_2","other_plants_percent_subplot_1","other_plants_percent_subplot_2","bare_soil_percent_subplot_1","bare_soil_percent_subplot_2","mulch_leaves_per_cover_subplot_1","mulch_leaves_per_cover_subplot_2","thatch_percent_subplot_1","thatch_percent_subplot_2","forage_yield_in_subplot_1","forage_yield_in_subplot_2"
"Big River Chestnuts","Silvopasture","A2","0","0","5","0","90","100","NA","NA","5","0","0","0","NA","NA","5","5","4","2.8"
"Big River Chestnuts","Silvopasture","A3","5","5","10","0","20","15","NA","NA","25","75","0","0","NA","NA","20","10","1.9","4.6"
"Big River Chestnuts","Silvopasture","B1","5","40","5","10","95","90","NA","NA","5","0","0","0","NA","NA","5","5","3.9","4"
"Big River Chestnuts","Silvopasture","B2","0","0","0","55","80","30","NA","NA","10","25","0","0","NA","NA","25","30","2.5","6"
"Big River Chestnuts","Silvopasture","B3","0","0","30","0","55","95","NA","NA","25","0","0","0","NA","NA","20","5","6","6"
"Howling Wolf","Reference","A1","1.3","","0","","5","","1","","90","","0","","0","","5","","12",""
"Howling Wolf","Reference","A2","19.2","","0","","55","","1","","35","","0","","0","","5","","6.5",""
"Howling Wolf","Reference","B1","13.4","","10","","20","","8","","55","","0","","0","","10","","4",""
"Howling Wolf","Reference","B2","17.4","","0","","25","","0","","75","","0","","0","","0","","7.75",""
"Howling Wolf","Reference","B3","0","","5","","15","","0","","80","","0","","0","","5","","8.25",""
"Howling Wolf","Reference","B4","0","","0","","10","","2","","85","","0","","0","","5","","7.5",""
"Squier Family Farm","Silvopasture","A1","54.5","","5","","35","","9","","25","","15","","0","","0","","3",""
"Squier Family Farm","Silvopasture","A2","87.3","","0","","0","","10","","30","","40","","0","","0","","10",""
"Squier Family Farm","Silvopasture","A3","2.1","","0","","40","","4","","50","","5","","0","","0","","8",""
"Squier Family Farm","Silvopasture","B1","0","","0","","70","","6","","25","","5","","0","","0","","5.25",""
"Squier Family Farm","Silvopasture","B2","0","","0","","20","","2","","80","","5","","0","","0","","6",""
"Squier Family Farm","Silvopasture","B3","5.1","","0","","30","","5","","50","","5","","0","","10","","3.5",""
"Squier Family Farm","Silvopasture","B4","0","","15","","20","","9","","25","","10","","0","","0","","2.5",""
"Squier Family Farm","Silvopasture Ref","A1","0","","10","","75","","NA","","5","","0","","0","","10","","NA",""
"Squier Family Farm","Silvopasture Ref","A2","0","","0","","80","","NA","","20","","0","","0","","10","","NA",""
"Squier Family Farm","Silvopasture Ref","A3","0","","5","","75","","NA","","10","","0","","0","","10","","NA",""
"Squier Family Farm","Silvopasture Ref","A4","0","","0","","40","","NA","","20","","0","","0","","40","","NA",""
"Squier Family Farm","Silvopasture Ref","A5","0","","0","","70","","NA","","15","","0","","0","","15","","NA",""
"Squier Family Farm","Silvopasture Ref","A6","0","","0","","90","","NA","","5","","0","","0","","5","","NA",""
"Valley Clayplain","Mixed Fruit Alleys","A1","42","","0","","40","","10","","40","","15","","5","","0","","3",""
"Valley Clayplain","Mixed Fruit Alleys","A2","0","","0","","10","","3","","80","","5","","5","","0","","8",""
"Valley Clayplain","Mixed Fruit Alleys","A3","0","","5","","40","","6","","30","","0","","0","","15","","3",""
"Valley Clayplain","Mixed Fruit Alleys","A4","0","","0","","60","","7","","20","","0","","0","","20","","5.5",""
"Valley Clayplain","Mixed Fruit Alleys","B1","58.8","","5","","70","","1","","20","","5","","5","","0","","8",""
"Valley Clayplain","Mixed Fruit Alleys","B2","34.5","","0","","75","","10","","20","","5","","0","","0","","3",""
"Valley Clayplain","Mixed Fruit Alleys","B3","33.5","","0","","20","","4","","30","","0","","50","","0","","6.5",""
"Valley Clayplain","Mixed Fruit Alleys","B4","0","","5","","60","","3","","40","","0","","0","","5","","7.5",""
"Valley Clayplain","Black Locust Coppice","A1","85","","0","","50","","5","","15","","40","","0","","0","","3",""
"Valley Clayplain","Black Locust Coppice","A2","5.2","","0","","70","","2","","30","","0","","0","","0","","5",""
"Valley Clayplain","Black Locust Coppice","A3","78","","0","","75","","4","","5","","5","","0","","10","","2",""
"Valley Clayplain","Black Locust Coppice","A4","42.8","","0","","20","","6","","10","","70","","0","","0","","2",""
"Valley Clayplain","Heartnut Hillside","A1","0","","5","","50","","1","","50","","0","","0","","0","","11",""
"Valley Clayplain","Heartnut Hillside","A2","0","","10","","60","","2","","30","","0","","0","","0","","9",""
"Valley Clayplain","Heartnut Hillside","A3","0","","5","","90","","1","","5","","0","","0","","0","","8",""
"Valley Clayplain","Heartnut Hillside","B1","0","","0","","100","","0","","0","","0","","0","","0","","17",""
"Valley Clayplain","Heartnut Hillside","B2","55.7","","0","","85","","9","","10","","5","","0","","0","","3",""
"Valley Clayplain","Heartnut Hillside","B3","33.2","","0","","95","","10","","5","","0","","0","","5","","3",""
"Valley Clayplain","Vegetable Garden","A1","0","","0","","100","","9","","0","","5","","0","","5","","2",""
"Valley Clayplain","Vegetable Garden","A2","0","","0","","35","","5","","0","","10","","60","","0","","5",""
"Valley Clayplain","Vegetable Garden","A3","0","","0","","85","","8","","5","","0","","5","","0","","3",""
"Valley Clayplain","System Reference","A1","0","","5","","25","","2","","70","","0","","0","","10","","9",""
"Valley Clayplain","System Reference","A2","0","","15","","80","","7","","5","","5","","0","","5","","7",""
"Valley Clayplain","System Reference","A3","0","","5","","50","","5","","50","","5","","5","","0","","6",""
"Valley Clayplain","System Reference","B1","0","","5","","80","","4","","10","","0","","0","","15","","6.25",""
"Valley Clayplain","System Reference","B2","0","","0","","20","","2","","80","","0","","0","","5","","8",""
"Valley Clayplain","System Reference","B3","0","","5","","75","","5","","15","","0","","0","","0","","7",""
"Breadtree Farm","Silvopasture","A1","0","","0","","60","","5","","40","","5","","0","","0","","3",""
"Breadtree Farm","Silvopasture","A2","0","","0","","70","","7","","35","","0","","0","","0","","4",""
"Breadtree Farm","Silvopasture","A3","0","","0","","95","","3","","5","","0","","0","","5","","6.5",""
"Breadtree Farm","Silvopasture","B1","1.71","","0","","95","","6","","5","","0","","0","","5","","8.5",""
"Breadtree Farm","Silvopasture","B2","0.74","","0","","75","","5","","25","","0","","0","","0","","3",""
"Breadtree Farm","Silvopasture","B3","0","","0","","90","","4","","10","","0","","0","","0","","3.5",""
"Carr's Cidery","Silvopasture","A1","1.9","","0","","85","","NA","","5","","10","","0","","10","","NA",""
"Carr's Cidery","Silvopasture","A2","15.5","","0","","5","","NA","","0","","40","","0","","60","","NA",""
"Carr's Cidery","Silvopasture","A3","5.6","","0","","40","","NA","","40","","10","","0","","10","","NA",""
"Carr's Cidery","Silvopasture","B1","0","","0","","100","","NA","","0","","5","","0","","5","","NA",""
"Carr's Cidery","Silvopasture","B2","0","","0","","40","","NA","","0","","20","","0","","40","","NA",""
"Carr's Cidery","Silvopasture Reference","A1","0","","5","","80","","4","","0","","5","","0","","10","","4.25",""
"Carr's Cidery","Silvopasture Reference","A2","0","","0","","100","","5","","0","","5","","0","","5","","6.25",""
"Carr's Cidery","Silvopasture Reference","A3","0","","0","","80","","4","","0","","10","","0","","10","","8",""
"Carr's Cidery","Silvopasture Reference","B1","0","","0","","80","","2","","0","","10","","0","","10","","5.5",""
"Carr's Cidery","Silvopasture Reference","B2","0","","0","","90","","2","","0","","5","","0","","5","","9",""
"Carr's Cidery","Silvopasture Reference","B3","0","","0","","80","","6","","0","","10","","0","","10","","8.5",""
"Apple Creek","Silvopasture","A1","43.7","","0","","100","","6","","0","","0","","5","","5","","9",""
"Apple Creek","Silvopasture","A2","4.14","","5","","80","","4","","5","","15","","5","","5","","5",""
"Apple Creek","Silvopasture","A3","73.4","","0","","40","","9","","15","","55","","0","","0","","2",""
NA,NA,"A4","42.9","","0","","40","","10","","5","","15","","5","","15","","2",""
"Appleton","Oak Reference","A1","0","","0","","80","","8","","0","","5","","0","","20","","2.5",""
"Appleton","Oak Reference","A2","0","","0","","75","","5","","20","","0","","0","","25","","3.5",""
"Appleton","Oak Reference","A3","0","","0","","50","","7","","25","","5","","0","","50","","3.5",""
"Appleton","Oak Reference","B1","0","","0","","25","","7","","60","","0","","0","","15","","4",""
"Appleton","Oak Reference","B2","0","","0","","25","","5","","0","","0","","0","","75","","3.75",""
"Appleton","Oak Reference","B3","0","","5","","15","","9","","10","","0","","0","","75","","5",""
"Appleton","Oak Silvopasture","A1","12.5, NA","","0, 0","","95, 20","","NA, 5","","5, 50","","0, 0","","5, 0","","20, 5","","2, 8",""
"Appleton","Oak Silvopasture","A2","30.9, NA","","0, 0","","90, 5","","NA, 8","","5, 15","","0, 0","","5, 25","","10, 60","","3, 3",""
"Appleton","Oak Silvopasture","A3","26.8, NA","","0, 0","","85, 5","","NA, NA","","0, 40","","5, 0","","5, 90","","10, 0","","2, 0",""
"Appleton","Oak Silvopasture","B1","28.9, NA","","0, 0","","60, 0","","NA, NA","","10, 100","","0, 0","","10, NA","","5, 0","","2.5, 0",""
"Appleton","Oak Silvopasture","B2","48.8, NA","","0, 0","","50, 0","","NA, 10","","0, 40","","0, 0","","30, 50","","20, 0","","3, 0",""
"Appleton","Oak Silvopasture","B3","28.7, NA","","0, 0","","100, 0","","NA, NA","","0, 75","","0, 0","","5, 80","","10, 0","","2, 0",""
"Apple Creek","Silvopasture","A5","55.4","","0","","30","","10","","0","","65","","0","","5","","2",""
"Apple Creek","Silvopasture","A6","","10","","5","","40","","35","","NA","","0","","5","","0","","8"
"White Oak","Silvopasture","A1","79","","0","","0","","10","","5","","20","","70","","0","","0",""
"White Oak","Silvopasture","A2","15.5","","0","","15","","10","","10","","5","","0","","0","","2",""
"White Oak","Silvopasture","A3","32.8","","0","","15","","5","","30","","0","","20","","10","","2.5",""
"White Oak","Silvopasture","B1","55.5","","0","","10","","10","","10","","0","","40","","25","","2",""
"White Oak","Silvopasture","B2","42.5","","0","","10","","9","","5","","15","","50","","5","","2",""
"White Oak","Silvopasture","B3","27.9","","0","","5","","10","","15","","5","","75","","5","","1.5",""
"Harrison's","Silvopasture","A1","0","","20","","80","","7","","0","","0","","0","","5","","4",""
"Harrison's","Silvopasture","A2","0","","0","","95","","2","","0","","0","","0","","5","","8",""
"Harrison's","Silvopasture","A3","2.4","","10","","85","","2","","0","","0","","0","","10","","6",""
"Harrison's","Silvopasture","A4","2.3","","0","","90","","6","","5","","0","","10","","0","","7",""
"Harrison's","Silvopasture","B1","0","","10","","50","","9","","10","","5","","0","","25","","3.5",""
"Harrison's","Silvopasture","B2","2","","0","","70","","7","","5","","0","","15","","15","","8.5",""
"Harrison's","Silvopasture","B3","0","","0","","85","","6","","5","","0","","0","","15","","9.5",""
"Harrison's","Silvopasture","B4","0.4","","0","","90","","5","","5","","0","","10","","5","","7",""
"Harrison's","Silvopasture Reference","A1","0","","35","","30","","10","","5","","0","","0","","20","","3",""
"Harrison's","Silvopasture Reference","A2","0","","90","","5","","9","","0","","0","","0","","5","","2.5",""
"Harrison's","Silvopasture Reference","A3","0","","15","","75","","10","","5","","0","","0","","5","","3",""
"Harrison's","Silvopasture Reference","B1","0","","90","","10","","8","","0","","0","","0","","5","","5",""
"Harrison's","Silvopasture Reference","B2","0","","95","","5","","3","","0","","0","","0","","0","","4",""
"Harrison's","Silvopasture Reference","B3","0","","90","","10","","2","","0","","0","","0","","0","","5.5",""
"Wild Harmony","Silvopasture","A1","25","","0","","70","","9","","0","","0","","10","","20","","4",""
"Wild Harmony","Silvopasture","A2","27.7","","0","","60","","8","","0","","0","","20","","10","","3.5",""
"Wild Harmony","Silvopasture","A3","22.9","","0","","60","","8","","0","","0","","15","","15","","4",""
"Wild Harmony","Silvopasture","B1","36.4","","0","","25","","5","","50","","0","","25","","20","","3",""
"Wild Harmony","Silvopasture","B2","43.5","","0","","50","","7","","10","","5","","15","","5","","5",""
"Wild Harmony","Silvopasture","B3","31.9","","0","","45","","10","","10","","5","","25","","5","","3",""
